name,desc,img,type,mag,size,dist,const,catalog
M1,"In 1054, Chinese astronomers took notice of a “guest star” that was, for nearly a month, visible in the daytime sky. The “guest star” they observed was actually a supernova explosion, which gave rise to the Crab Nebula, a six-light-year-wide remnant of the violent event.  With an apparent magnitude of 8.4 and located 6,500 light-years from Earth in the constellation Taurus, the Crab Nebula can be spotted with a small telescope and is best observed in January. The nebula was discovered by English astronomer John Bevis in 1731, and later observed by Charles Messier who mistook it for Halley’s Comet. Messier’s observation of the nebula inspired him to create a catalog of celestial objects that might be mistaken for comets.  This large mosaic of the Crab Nebula was assembled from 24 individual exposures captured by Hubble over three months. The colors in this image do not match exactly what we would see with our eyes but yield insight into the composition of this spectacular stellar corpse. The orange filaments are the tattered remains of the star and consist mostly of hydrogen. The blue in the filaments in the outer part of the nebula represents neutral oxygen. Green is singly ionized sulfur, and red indicates doubly ionized oxygen. These elements were expelled during the supernova explosion.  A rapidly spinning neutron star (the ultra-dense core of the exploded star) is embedded in the center of the Crab Nebula. Electrons whirling at nearly the speed of light around the star’s magnetic field lines produce the eerie blue light in the interior of the nebula. The neutron star, like a lighthouse, ejects twin beams of radiation that make it appear to pulse 30 times per second as it rotates.",M1,Supernova Remnant,8.4,8,6500,Taurus,NGC 1952
M2,"The first globular cluster to be added to the Messier catalog, M2 is located roughly 37,000 light-years from Earth in the constellation Aquarius. A globular cluster is a spherical group of stars that are bound together by their mutual gravitational attraction. M2 has a diameter of over 150 light-years and is one of the largest clusters of its kind. It was discovered in 1746 by the French astronomer Jean-Dominique Maraldi while he was observing a comet. M2 contains over 150,000 stars. Most of the cluster’s mass is concentrated at its center, with shimmering streams of stars extending outward into space. It has an apparent magnitude of 6.3 and can be seen with the naked eye in ideal viewing conditions. The best time to observe M2 is during the month of October. Large telescopes will resolve the cluster’s individual stars.",M5,Globular Cluster,6.5,11.7,33000,Aquarius,NGC 7089
M3,"The globular cluster M3 was the first object in the Messier catalog to be discovered by Charles Messier himself. Messier spotted the cluster in 1764, mistaking it for a nebula without any stars. This misunderstanding of M3’s nature was corrected in 1784 when William Herschel was able to resolve the cluster’s individual stars. Today it is known to contain over 500,000 stars.  M3 is notable for containing more variable stars than any other known cluster. The brightness of a variable star fluctuates with time. For some variable stars, their period relates to their intrinsic luminosity, so astronomers can use those stars’ brightness fluctuations to estimate their distances. This makes them extremely useful for measuring distances to deep-sky objects. M3 contains at least 274 variable stars. The cluster is located 34,000 light-years from Earth in the constellation Canes Venatici. It has an apparent magnitude of 6.2 and can be spotted using a pair of binoculars. The best time to observe M3 is during May.",M5,Globular Cluster,6.2,18.6,33900,Canes Venatici,NGC 5272
M4,"M4, located in the constellation Scorpius, is a huge, spherical collection of stars known as a globular cluster. Just 5,500 light-years away, it is the closest globular cluster to Earth. Because of its apparent magnitude of 5.9 and proximity to Antares, one of the brightest stars in the night sky, M4 is relatively easy to find with a small telescope. The cluster is best spotted in July.  M4 was discovered in 1746 by the Swiss astronomer Jean-Philippe Loys de Chéseaux. Home to more than 100,000 stars, the cluster is predicted to contain up to 40,000 white dwarfs — the cores of ancient, dead stars whose outer layers have drifted away into space. As white dwarfs age, they grow cooler, fainter, and more difficult to detect. Therefore, a globular cluster’s age can be inferred from the age of its faintest white dwarf. Because the stars in these clusters are some of the oldest in the universe, up to 13 billion years old, astronomers are able to use them to estimate the age of the universe.  The white dwarfs in M4 are less than one-billionth the apparent brightness of the faintest stars that can be seen with the naked eye. Even the brightest of the detected white dwarfs are no more luminous than a 100-watt light bulb seen at the moon’s distance. The faintest are comparable to a 2.5-watt night-light at the same distance.",M5,Globular Cluster,5.6,22.8,7200,Scorpius,NGC 6121
M5,"Discovered in 1702 by the German astronomer Gottfried Kirch, M5 is one of the oldest globular clusters in the Milky Way galaxy. With an apparent magnitude of 6.7 and a location 25,000 light-years away in the constellation Serpens, M5 appears as a patch of light with a pair of binoculars and is best viewed during July.  This image from Hubble captures M5 in stunning detail, resolving the patch of light into individual stars. A composite of exposures taken with visible and infrared cameras, this image features over 100,000 stars. A majority of M5’s stars formed more than 12 billion years ago, but there are some unexpected newcomers on the scene, adding some vitality to this aging population.  Stars in globular clusters are believed to form in the same stellar nursery and grow old together. The most massive stars age quickly, exhausting their fuel supply in less than a million years, and end their lives in spectacular supernova explosions. This process should have left the ancient cluster M5 with only old, low-mass stars.  Yet astronomers have spotted many young, blue stars amongst the ancient stars in this cluster. Astronomers think that these laggard youngsters, called blue stragglers, were created either by collisions between stars or other stellar interactions. Such events are easy to imagine in densely populated globular clusters, in which up to a few million stars are tightly packed together.",M5,Globular Cluster,5.7,19.9,24500,Serpens,NGC 5904
M6,"Messier 6 (M6), also known as the Butterfly Cluster, is a bright open cluster located in the southern constellation Scorpius.  The Butterfly Cluster lies in the direction of the galactic centre, at an approximate distance of 1,600 light years from Earth.  Messier 6 was named the Butterfly Cluster by the American astronomer Robert Burnham, who described it as a “charming group whose arrangement suggests the outline of a butterfly with open wings.” The cluster has an apparent magnitude of 4.2. Its designation in the New General Catalogue is NGC 6405.       Messier 6 is estimated to be around 100,000 million years old. Most of the bright, visible stars in it are hot, young, blue stars belonging to the spectral class B4-B5. However, the brightest star in the cluster is an orange giant belonging to the spectral class K.",M6,Open Cluster,4,20,1600,Scorpius,NGC 6405
M7,"Messier 7 (M7), also known as Ptolemy’s Cluster, is a bright open cluster in Scorpius constellation.  The cluster lies at an approximate distance of 980 light years from Earth. It has the designation NGC 6475 in the New General Catalogue. With a visual magnitude of 3.3 and an apparent diameter of 80 arc minutes – more than twice the apparent size of the full Moon – Ptolemy’s Cluster is an easy naked-eye target.  Messier 7 can be seen near the stinger of the celestial scorpion. The cluster is the southernmost Messier object in the sky, which makes it a challenging object for those in northern latitudes as Scorpius constellation never rises very high above the horizon.       The best time of year to observe M7 is in the summer months. Because of its large size, the cluster is best seen in binoculars.  Messier 7 can be found 4.75 degrees northeast of the star Lambda Scorpii, also known as Shaula.  Shaula marks the scorpion’s stinger and is the second brightest star in Scorpius constellation, fainter only than the red supergiant Antares.",M7,Open Cluster,3,80,980,Scorpius,NGC 6475
M8,"Commonly known as the Lagoon Nebula, M8 was discovered in 1654 by the Italian astronomer Giovanni Battista Hodierna, who, like Charles Messier, sought to catalog nebulous objects in the night sky so they would not be mistaken for comets. This star-forming cloud of interstellar gas is located in the constellation Sagittarius and its apparent magnitude of 6 makes it faintly visible to the naked eye in dark skies. The best time to observe M8 is during August.   Located 5,200 light-years from Earth, M8 is home to its own star cluster: NGC 6530 (not visible in the image above). The massive stars embedded within the nebula give off enormous amounts of ultraviolet radiation, ionizing the gas and causing it to shine.  In Hubble’s image of the center of the Lagoon Nebula, dust masks most of the objects within. This image maps the emission from the nebula’s ionized gas. Hydrogen is colored red and nitrogen is green. The blue-white flare at the upper left of the image is scattered light from a bright star just outside the field of view.",M8,Cluster with Nebula,5,45,4100,Sagittarius,NGC 6523
M9,"Located only 25,000 light-years away in the constellation Ophiuchus, M9 is one of the closest globular clusters to the center of our Milky Way galaxy. The stars in the globular cluster are gravitationally bound to each other, with most of the stars concentrated at the cluster’s center. This large central mass pulls outer stars inward and causes globular clusters to have a spherical shape. M9’s proximity to the much greater mass at the center of the Milky Way has warped the cluster’s shape, though, so it appears less spherical than other objects of its kind.  M9 was discovered by Charles Messier in 1764. It has an apparent magnitude of 8.4 and can be observed using a small telescope. The best time of year to spot the cluster is during the month of July.",M5,Globular Cluster,7.7,5.5,25800,Ophiuchus,NGC 6333
M10,"Discovered by Charles Messier in 1764, M10 is a globular cluster located in the constellation Ophiuchus. It is roughly 15,000 light-years from Earth and has an apparent magnitude of 6.4. This cluster can be spotted using a pair of binoculars and is most easily observed during July.  M10 is notable for its high population of blue stragglers — stars that appear to be far younger than their neighbors. The stars in globular clusters are thought to have formed and aged together, so they should all be roughly the same age. These anomalous, bluer stars were created either by collisions between stars or other stellar interactions. Such events are easy to imagine in densely populated globular clusters, in which up to a few million stars are tightly packed together.",M5,Globular Cluster,6.6,12.2,14300,Ophiuchus,NGC 6254
M11,"M11 is one of the few open star clusters in the Messier catalog that has been observed by Hubble. Unlike the many globular clusters Hubble has imaged, open clusters are groups of stars that are only loosely bound by gravity. The lifespans of open clusters are relatively short when compared to those of globular clusters. This is because the gravitational interactions between members of open clusters are comparatively weak, so stars do not remain bound for long before they are drawn away by stronger gravitational forces.  Also known as the Wild Duck Cluster for the roughly V-shaped arrangement of its brightest stars, M11 was discovered by the German astronomer Gottfried Kirch in 1681. It is located 6,200 light-years from Earth in the constellation Scutum and has an apparent magnitude of 6.3. Of the 26 open clusters included in the Messier catalog, M11 is the most distant that can be seen with the naked eye. The best time to spot the cluster is in August. M11 is one of the most densely populated open clusters known. Containing over 2,900 stars, it appears as a triangular patch of light through a pair of binoculars.  This Hubble image of a portion of the cluster was created using observations at visible and ultraviolet wavelengths. The black stripe through the middle of the image results from a gap between the two detectors of the camera that made the observations.",M11,Open Cluster,5.8,14,6200,Scutuum,NGC 6705
M12,"M12 was discovered by Charles Messier in 1764. The globular cluster is located 23,000 light-years from Earth in the constellation Ophiuchus. It has an apparent magnitude of 7.7 and can be observed with a pair of binoculars most easily in July.    Because globular clusters like M12 have such high concentrations of stars, they often contain binary star systems — systems of two stars that are locked in orbit around each other. As the stars interact, material from one star can be transferred to its companion, producing X-rays in the process. These X-rays serve as a signature of interacting binary systems, and many have been detected in M12. This is unexpected because M12 is a relatively diffuse globular cluster, so stars should be less likely to interact than if they were in clusters with a higher concentration of stars.  M12 also has fewer low-mass stars than expected. Astronomers suspect that gravity has ripped many low-mass stars from M12 as the cluster passed through denser regions of the Milky Way during its orbit around the galaxy’s center. M12 is thought to have lost up to one million stars this way.",M5,Globular Cluster,6.7,12.2,15700,Ophiuchus,NGC 6218
M13,"Like shiny flakes sparkling in a snow globe, over 100,000 stars whirl within the globular cluster M13, one of the brightest star clusters visible from the Northern Hemisphere. Located 25,000 light-years from Earth with an apparent magnitude of 5.8, this glittering metropolis of stars in the constellation Hercules can be spotted with a pair of binoculars most easily in July.  The English astronomer Edmond Halley, best known for recognizing the periodicity of the comet that bears his name, discovered M13 in 1714. When Charles Messier added M13 to his catalog in 1764, he was convinced that the nebulous object did not contain any stars at all. Because they are so densely packed together, the cluster’s individual stars were not resolved until 1779. Near the core of this cluster, the density of the stellar population is about a hundred times greater than the density in the neighborhood of our sun. These stars are so crowded that they can, at times, run into each other and even form a new star. The resulting “blue stragglers” appear to be younger than the other stars in their immediate vicinity and are of great scientific interest to astronomers.",M5,Globular Cluster,5.8,23.2,22200,Hercules,NGC 6205
M14,"Discovered by Charles Messier in 1764, the globular cluster M14 is home to over 150,000 stars and has an apparent magnitude of 8.3. It is located 29,000 light-years away from Earth in the constellation Ophiuchus, and is best observed with a telescope during July.  In the summer of 1938, M14 played host to a nova — an extraordinarily rare event in a cluster of its kind. A nova is a sudden stellar eruption where, in just a few days, a star’s brightness increases by a factor of 10,000. Then over the following months the outburst fades away and the star returns to its normal brightness.  This image of M14 was assembled using both infrared and visible-light observations from Hubble. Its stair-step appearance results from the design of the camera used to take the exposures. The camera consisted of four light detectors, one of which provided a higher resolution but had a smaller field of view than the other three. Because the detector with the higher resolution did not cover as much area as the others, black regions are left around its image segment when the exposures from all four detectors are combined into one picture. ",M14,Globular Cluster,7.6,6.7,30300,Ophiuchus,NGC 6402
M15,"A spectacular swarm of stars, M15 was discovered in 1746 by Jean-Dominique Maraldi, an Italian astronomer on the hunt for comets. This globular cluster is one of the densest ever discovered, with very hot blue stars and cooler orange stars becoming more concentrated toward its bright core. M15 is located in the constellation Pegasus 33,600 light-years from Earth. Shining with an apparent magnitude of 6.2, the cluster can be spotted with a pair of binoculars. The best time to observe it is in October. M15 was the first globular cluster known to host a planetary nebula (the gaseous shell of a dying star). This nebula, Pease 1, was detected in 1928 by Francis G. Pease and is one of only four planetary nebulas known to exist within a globular cluster. This cluster has also been found to host a rare type of black hole at its center: an intermediate-mass black hole. Supermassive black holes are found at the center of galaxies and can be billions of times more massive than the sun. More diminutive “stellar” black holes, on the other hand, are on the order of 10 solar masses. The black hole thought to exist at the center of M15, however, is 4,000 times the mass of the sun.",M5,Globular Cluster,6.2,12.3,33000,Pegasus,NGC 7078
