name,mass,lum,mag,temp,dist,const,desc,multi
14 Andromedae,1.12,60.30,5.22,4743,247.00,Andromeda,"14 Andromedae, abbreviated 14 And, also named Veritate, is a single, orange-hued giant star situated approximately 247 light-years away in the northern constellation of Andromeda. It is dimly visible to the naked eye with an apparent visual magnitude of 5.22. The star is moving closer to the Earth with a heliocentric radial velocity of −60 km/s. In 2008 an extrasolar planet (designated 14 Andromedae b, later named Spe) was discovered to be orbiting the star. This is a red clump[9] giant with a stellar classification of K0 III indicating it is on the horizontal branch and is generating energy through helium fusion at its core. The star has 1.12 (or 2.2) times the mass of the Sun and has expanded to 10.5 times the Sun's radius. It is radiating 60.3 times the Sun's luminosity from its enlarged photosphere at an effective temperature of 4,743 K. This is thought it was formerly an A- or F-type main-sequence star earlier in its life, prior to evolving into a giant. In July 2014 the International Astronomical Union launched a process for giving proper names to certain exoplanets and their host stars. The process involved public nomination and voting for the new names. In December 2015, the IAU announced the winning names were Veritate for this star and Spe for its planet.",1
16 Tauri,4.00,344.00,5.45,12800,430.00,Taurus,"Celaeno, designated 16 Tauri, is a star in the constellation of Taurus and a member of the Pleiades open star cluster (M45) of stars. 16 Tauri is a blue-white B-type subgiant with an apparent magnitude of +5.45. It is approximately 430 light years from the Sun; about the same distance as the Pleiades. The interstellar extinction of this star is fairly small at 0.05 magnitudes. The projected rotational velocity of the equator is 185 km/s. It is over four times the radius of the Sun and has a surface temperature of 12,800 K.",1
17 Tauri,5.00,940.00,3.72,13500,400.00,Taurus,"Electra designated 17 Tauri, is a blue-white giant star in the constellation of Taurus. It is the third-brightest star in the Pleiades open star cluster (M45); the most visible stars in this group are named for the Seven Sisters of Greek mythology. The star has an apparent brightness of 3.72, the third-brightest of the stars in the group. Electra belongs to the spectral class B6 IIIe and is approximately 400 light-years from the Sun. The Pleiades cluster is thought to be 444 light-years away. The projected rotational velocity of this star is 181 km/s, making it a fast rotator. This is the velocity component of the star's equatorial rotation along the line of sight to the Earth. The estimated inclination of the star's pole is 46.8° ± 1.6, giving it a true equatorial rotational velocity of 320 ± 18 km/s. The rapid rotation rate of this star flattens the poles and stretch the equator. This makes the surface gravity of the star non-uniform and causes temperature variation. This effect is known as gravity darkening, because it results in a variation of radiation by latitude. The rapid rotation extends the life span of the star by increasing the core density and reducing the radiation output.",1
18 Delphini,2.30,40.00,5.48,4979,249.00,Delphinus,"18 Delphini, also named Musica, is a yellow giant star approximately 249 light-years from Earth in the constellation of Delphinus of the low northern hemisphere. An object believed to be an extrasolar planet (designated 18 Delphini b or Arion) orbits the star. 18 Delphini has a spectral type of G6III and is a red clump giant, an evolved star that is burning helium in its core. It has a temperature of 4979 K, is 8.5 times larger than the sun and 40 times more luminous. It has a current mass of 2.3 M☉.",1
19 Tauri,4.50,600.00,4.30,12006,440.00,Taurus,"19 Tauri is a double star in the constellation of Taurus and a member of the Pleiades open star cluster (M45). It consists of a binary pair designated 19 Tauri A together with a single star visual companion, 19 Tauri B. 'A's' two components are themselves designated 19 Tauri Aa (officially named Taygeta, the traditional name for the entire system) and Ab. Based on parallax measurements obtained during the Hipparcos mission, 19 Tauri A is approximately 440 light-years from the Sun. The system bore the traditional name Taygeta (or Taygete). Taygete was one of the Pleiades sisters in Greek mythology. 19 Tauri A presents as a blue-white B-type subgiant with an apparent magnitude of +4.30. he 8th magnitude visual companion, 19 Tauri B, is 69 arcseconds away. It is thought to be a yellow star somewhat more massive and larger than the Sun, and further away than the Pleiades cluster.",2
20 Tauri,3.77,501.00,3.87,12300,380.00,Taurus,"Maia, designated 20 Tauri, is a star in the constellation of Taurus. It is a blue giant of spectral type B8 III, a chemically peculiar star, and the prototype of the Maia variable class of variable star. Maia is the fourth-brightest star in the Pleiades open star cluster (Messier 45), after Alcyone, Atlas and Electra. It is surrounded by one of the brighter reflection nebulae within the Pleiades, designated NGC 1432 and sometimes called the Maia Nebula. Maia's visual magnitude is 3.87, requiring darker skies to be seen. Its bolometric luminosity is 501 times solar, mostly in the ultraviolet, thus suggesting a radius that is 3.6 times that of the Sun and a mass that is 3.8 times solar.[8] Interferometric measurements give an angular diameter of 0.436±0.023 mas, suggesting a radius of 4.95 R☉ assuming a distance of 113.5 pc. These measurements also allow the effective temperature to be estimated at 14,700±900 K.",1
21 Tauri,2.93,100.00,5.76,11041,431.00,Taurus,"21 Tauri, formally known as Asterope is a component of the Asterope double star in the Pleiades open cluster. 21 Tauri is the stars' Flamsteed designation. This star is potentially faintly visible to the naked eye with an apparent visual magnitude of 5.76 in ideal conditions, although anybody viewing the object is likely to instead see the pair as a single elongated form of magnitude 5.6. The distance to 21 Tauri can be estimated from its annual parallax shift of 7.6 mas, yielding a range of around 431 light years. It is moving further from the Earth with a heliocentric radial velocity of +6 km/s. 21 Tauri is a blue-white hued B-type main sequence star with a stellar classification of B8 V.",2
23 Tauri,4.50,630.00,4.18,13360,380.00,Taurus,"Merope, designated 23 Tauri, is a star in the constellation of Taurus and a member of the Pleiades star cluster. It is approximately 380 light years away. Merope is a blue-white B-type subgiant with a mean apparent magnitude of +4.14. Richard Hinckley Allen described the star as lucid white and violet. It has a luminosity of 630 times that of the Sun and a surface temperature of 14,000 kelvins. Merope's mass is roughly 4.5 solar masses and has a radius more than 4 times as great as the Sun's. It is classified as a Beta Cephei type variable star and its brightness varies by 0.01 magnitudes.",1
27 Tauri,4.74,940.00,3.62,13446,431.00,Taurus,"Atlas, designation 27 Tauri, is a triple star system in the constellation of Taurus. It is a member of the Pleiades, an open star cluster (M45). It is 431 light-years (132 parsecs) away, and is 3.92 degrees north of the ecliptic. The WGSN approved the name Atlas for this star on 21 August 2016 and it is now so entered in the IAU Catalog of Star Names. The primary component, Atlas A, is a blue-white B-type giant with an apparent magnitude of +3.62. It is a binary star whose components have magnitudes of 3.84 and 5.46.",3
31 Lyncis,1.95,782.00,4.25,3920,380.00,Lynx,"Two stars stand out in the long straggly northern constellation Lynx, and are so remarkably similar that they will be described together. At magnitude 3.16, Alpha Lyncis tops the brightness list, and is also the only star in the constellation that carries a Greek letter. Most of the other stars that form Lynx use Flamsteed numbers, including 31 Lyncis, which at magnitude 4.26 is fourth in brightness. Oddly, 31 Lyncis is the only star that carries a proper name, Alsciaukat, which comes to us from ancient Arabic lore, and refers to a ""thorn.""",1
36 Ophiuchi,0.85,0.33,5.07,4843,19.50,Ophiuchus,"36 Ophiuchi, formally named Guniibuu, is a triple star system 19.5 light years from Earth. It is in the constellation Ophiuchus.The primary and secondary stars are nearly identical orange main sequence dwarfs of spectral type K2/K1; the tertiary star is an orange main sequence dwarf of spectral type K5.Star C is separated from the A-B pair by 700 arc seconds, compared to a minimum of 4.6 arcsec for A-B, so its effect on the movements of the A-B pair is small. A and B have active chromospheres.",3
38 Boötis,1.60,9.51,5.76,6591,157.40,Boötes,"38 Boötis is a single star in the northern constellation of Boötes, located approximately 157 light years from the Sun. It has the traditional name Merga and the Bayer designation h Boötis; 38 Boötis is the star's Flamsteed designation. This object is visible to the naked eye as a dim, yellow-white hued star with an apparent visual magnitude of 5.76. It is moving closer to the Earth with a heliocentric radial velocity of −4.5 km/s. This is a sharp-lined ('s') subgiant star with a stellar classification of F6 IVs, which indicates it has consumed the hydrogen at its core and is evolving off the main sequence. It is about 1.7 billion years old and is spinning with a projected rotational velocity of 10 km/s. The star has 1.6 times the mass of the Sun and 2.5 times the Sun's radius. It is radiating 9.5 times the luminosity of the Sun from its photosphere at an effective temperature of 6,591 K.",1
39 Arietis,1.60,11.10,4.52,4600,172.00,Aries,"39 Arietis, officially named Lilii Borea, is a star in the northern constellation of Aries. It is visible to the naked eye with an apparent visual magnitude of +4.5. The distance to this star, as determined from an annual parallax shift of 19.01 mas, is approximately 172 light-years (53 parsecs). 39 Arietis is a giant star with a stellar classification of K1.5 III. It is currently at an evolutionary stage known as the red clump, indicating that it is generating energy through the fusion of helium at its core. It has 1.6 times the mass of the Sun, but its outer envelope has expanded to around 11 times the Sun's radius. It shines with 56 times the luminosity of the Sun. This energy is being radiated into outer space from its outer atmosphere at an effective temperature of 4,603 K, giving it the cool orange-hued glow of a K-type star.",1
40 Eridani,0.84,0.46,4.43,5300,16.30,Eridanus,"40 Eridani, also designated Omicron² Eridani, is a triple star system in the constellation of Eridanus. Based on parallax measurements taken during the Hipparcos mission, it is less than 17 light-years from the Sun. The primary star of the system, designated 40 Eridani A, formally named Keid from the traditional name for the system, is easily visible to the naked eye. It is orbited by a binary pair whose two components are designated 40 Eridani B and C, and which were discovered on January 31, 1783, by William Herschel. It was again observed by Friedrich Struve in 1825 and by Otto Struve in 1851. In 1910, it was discovered that although component B was a faint star, it was white in color. This meant that it had to be a small star; in fact it was a white dwarf, the first discovered. Although it is neither the closest white dwarf, nor the brightest in the night sky, it is by far the easiest to observe; it is nearly three magnitudes brighter than Van Maanen's Star (the nearest solitary white dwarf), and unlike the companions of Procyon and Sirius it is not swamped in the glare of a much brighter primary.",3
41 Arietis,3.10,160.00,3.61,11900,166.00,Aries,"41 Arietis is a triple star system in the northern constellation of Aries. With an apparent visual magnitude of 3.63, this system is readily visible to the naked eye. It has an annual parallax shift of 19.69 mas, which indicates it is at a distance of 166 light-years (51 parsecs) from the Sun.The system consists of a binary pair, designated 41 Arietis A, together with a third companion star, 41 Arietis D. (41 Arietis B and C form optical pairs with A, but are not physically related.) The components of A are themselves designated 41 Arietis Aa and Ab.",3
41 Lyncis,2.07,55.00,5.41,4789,280.00,Ursa Major,"41 Lyncis, also designated HD 81688 and named Intercrus, is a fifth magnitude star located in the northern constellation of Ursa Major. An extrasolar planet (designated 41 Lyncis b or HD 81688 b, later named Arkas) is thought to be orbiting the star. It is estimated using parallax measurements to be approximately 280 light-years (86 parsecs) from the Sun. The spectrum of this star matches a stellar classification of K0 III, with the luminosity class of III suggesting it is a giant star. This star has about double the mass of the Sun, although a re-evaluation of evolutionary tracks published in 2011 gives a lower estimate of 1.1+0.3",1
42 Draconis,0.88,142.55,4.82,4280,315.00,Draco,"42 Draconis, formally named Fafnir, is a 5th magnitude K-type giant star located approximately 315 light years away in the constellation of Draco. As of 2009, an extrasolar planet (designated 42 Draconis b, later named Orbitar) is thought to be orbiting the star. Of spectral type K1.5III, the star has a mass similar to the Sun but with a radius 22 times greater. It is a metal-poor star with metallicity as low as 35% that of the Sun and its age is 9.49 billion years. It is the northern pole star of Venus.",1
46 Leo Minoris,1.69,34.00,3.79,4670,94.90,Leo Minor,"46 Leonis Minoris, formally named Praecipua, is the brightest star in the constellation of Leo Minor. It is of spectral class K0+III-IV and of magnitude 3.83. It is a red clump giant. Based upon parallax measurements, its distance from the Sun is approximately 95 light-years. It is a suspected variable with an amplitude of about 0.05 magnitudes.",1
47 Ursae Majoris,1.08,1.48,5.03,5887,45.90,Ursa Major,"47 Ursae Majoris, formally named Chalawan is a yellow dwarf star approximately 46 light-years from Earth in the constellation of Ursa Major. As of 2011, three extrasolar planets (designated 47 Ursae Majoris b, c and d; the first two later named Taphao Thong and Taphao Kaew) are believed to orbit the star.The star is located fairly close to the Solar System: according to astrometric measurements made by the Hipparcos astrometry satellite, it exhibits a parallax of 71.11 milliarcseconds, corresponding to a distance of 45.913 light-years. With an apparent magnitude of +5.03, it is visible to the naked eye and its absolute magnitude of +4.29 implies a visual luminosity around 60% greater than the Sun. A solar analog, with a spectral type of G1V, it has a similar mass to that of the Sun but is slightly hotter at around 5,882 K. and slightly more metal-rich with around 110% of the solar abundance of iron.",1
51 Andromedae,1.75,142.10,3.57,4951,169.00,Andromeda,"51 Andromedae, abbreviated 51 And and formally named Nembus, is the 5th brightest star in the northern constellation of Andromeda, very slightly dimmer than the Andromeda Galaxy also being of 4th magnitude. It is an orange K-type giant star with an apparent magnitude of +3.59 and is about 169 light-years from the Earth/solar system. It is traditionally depicted as one of the two northern, far upper ends of the mythological, chained-to-the-rocks princess, the other being binary star system Gamma Andromedae. At an estimated age of 1.7 billion years, this is an evolved red giant star with a stellar classification of K3- III CN0.5. The suffix notation indicates a mild enhancement of cyanogen absorption lines in its spectrum. This star has 1.8 times the mass of the Sun and it has expanded to 21.3 times the Sun's radius. It is radiating 142 times the Sun's luminosity from its enlarged photosphere at an effective temperature of 4,951 K.",1
51 Pegasi,1.11,1.36,5.49,5768,50.45,Pegasus,"51 Pegasi, formally named Helvetios is a Sun-like star located 50.45 light-years (15.47 parsecs) from Earth in the constellation of Pegasus. It was the first main-sequence star found to have an exoplanet (designated 51 Pegasi b, officially named Dimidium, formerly unofficially dubbed Bellerophon) orbiting it. 51 Pegasi was listed as a standard star for the spectral type G2IV in the 1989 The Perkins catalog of revised MK types for the cooler stars. Historically it was generally given a stellar classification of G5V, and even in modern catalogues it is usually listed as a main-sequence star.",1
53 Eridani,1.07,37.00,4.02,4603,110.00,Eridanus,"53 Eridani, also designated l Eridani (l Eri), is a binary star in the constellation of Eridanus. The system has a combined apparent magnitude of 3.87, making it visible to the naked eye even in inner city skies. Parallax estimates made by the Hipparcos spacecraft put it at a distance of about 110 light-years, or 33.7 parsecs from the Sun. The two components are designated 53 Eridani A (officially named Sceptrum)[9] and B. 53 Eridani is a visual binary, where the orbit of the two stars is calculated from their orbital motions. The primary star, 53 Eridani A, is an evolved red giant with a spectral type of K1III. It is almost ten times as wide as the Sun and slightly more massive than the Sun. The secondary star, 53 Eridani B, has an apparent magnitude of 6.95[3] and its spectral type is unknown. The two have an orbital period of 77 years and have a quite eccentric orbit, at 0.666. The total mass of the system is 2.49 M☉.",2
55 Cancri,0.96,0.59,5.95,5165,41.06,Cancer,"55 Cancri is a binary star system located 41 light-years away from the Sun in the zodiac constellation of Cancer. It has the Bayer designation Rho1 Cancri (ρ1 Cancri); 55 Cancri is the Flamsteed designation (abbreviated 55 Cnc). The system consists of a K-type star (designated 55 Cancri A, also named Copernicus and a smaller red dwarf (55 Cancri B). As of 2015, five extrasolar planets (designated 55 Cancri b, c, d, e and f; named Galileo, Brahe, Lipperhey, Janssen and Harriot, respectively) are believed to orbit 55 Cancri A.",2
8 Draconis,1.56,5.75,5.23,7129,95.90,Draco,"8 Draconis, formally named Taiyi, is a single star in the northern circumpolar constellation of Draco. Based upon an annual parallax shift of 34.14 mas as seen from the Earth, the star is located approximately 96 light-years from the Sun. It is moving further away with a heliocentric radial velocity of +9 km/s, having come within 40.6 ly some 2.6 million years ago. This is an F-type main-sequence star with a stellar classification of F1VmA7(n). It is a Gamma Doradus variable star with a brightness variation of about one tenth of a magnitude. The star bore the traditional Chinese name of Taiyi, from 太乙 (Tài Yǐ) or 太一 (Tài Yī, the Great One), both of which refer to Tao.",1
80 Ursae Majoris,1.84,14.03,3.99,8221,81.70,Ursa Major,"Alcor is a binary star system in the constellation of Ursa Major. It is the fainter companion of Mizar, the two stars forming a naked eye double in the handle of the Big Dipper (or Plough) asterism in the constellation of Ursa Major. The two both lie about 83 light-years away from the Sun, as measured by the Hipparcos astrometry satellite. Alcor was known as Arundhati, wife of one of the Saptarishi, in traditional Indian astronomy. In 2009, Alcor was discovered to have a companion star Alcor B, a magnitude 8.8 red dwarf.",2
Acamar,2.60,145.00,2.88,8200,161.00,Eridanus,"Theta Eridani is a binary system in the constellation of Eridanus. Its two components are designated θ¹ Eridani, formally named Acamar (the traditional name of the system), and θ² Eridani. The system's distance from the Sun as measured by the Hipparcos astrometry satellite is approximately 120 light-years.",1
Achernar,6.70,"3,150.00",0.04,15000,139.00,Eridanus,"Achernar is the primary (or 'A') component of the binary system designated Alpha Eridani, which is the brightest star in the constellation of Eridanus, and the ninth-brightest in the night sky. The two components are designated Alpha Eridani A (the primary) and B (the secondary, also known informally as Achernar B). As determined by the Hipparcos astrometry satellite, it is approximately 139 light-years (43 pc) from the Sun. Due to precession, Achernar lay much farther south in ancient times than at present, being 7.5 degrees of the south pole around 3400 BCE (decl 82º40') and still lying at declination −76 by around 1500 BCE. Hence the Ancient Egyptians could not have known it.",1
Achird,0.97,1.23,3.46,5973,19.42,Cassiopea,"Eta Cassiopeiae is a binary star system in the northern circumpolar constellation of Cassiopeia. Its binary nature was first discovered by William Herschel in August 1779. Based upon parallax measurements, the distance to this system is 19.42 light-years (5.95 parsecs) from the Sun. The two components are designated Eta Cassiopeiae A (officially named Achird /ˈeɪtʃərd/, the traditional name for the system) and B.",1
Acrab,15.00,"7,900.00",2.56,26400,400.00,Scorpius,"Beta Scorpii is a multiple star system in the southern zodiac constellation of Scorpius. It bore the traditional proper name of Acrab, though the International Astronomical Union now regards that name as applying only to the β Scorpii Aa component.",4
Acrux,17.80,"25,000.00",0.76,24000,320.00,Crux,"Acrux, designated α Crucis is a multiple star system 321 light-years from the Sun in the constellation of Crux and part of the asterism known as the Southern Cross. With a combined visual magnitude of +0.76, it is the brightest object in Crux and the 13th brightest star in the night sky. It is the southernmost first-magnitude star, 2.3 degrees more southerly than Alpha Centauri. The two components, α1 and α2 Crucis, are separated by 4 arcseconds. α1 is magnitude 1.40 and α2 is magnitude 2.09, both early class B stars, with surface temperatures of about 28,000 and 26,000 K respectively.",3
Acubens,2.10,50.55,4.26,7943,164.00,Cancer,"Alpha Cancri, also named Acubens, is a star system in the constellation of Cancer.Alpha Cancri is a fourth-magnitude star with an apparent magnitude of 4.20, making it barely visible to the naked eye under good lighting conditions. Nevertheless, it is 23 times more luminous than the Sun. Its stellar classification is A5m. The distance of Alpha Cancri calculated from the Gaia Data Release 2 parallax is roughly 50 parsecs from Earth, or approximately 164 light years away.",3
Adhafera,3.00,85.00,3.43,6792,274.00,Leo,"Zeta Leonis, also named Adhafera, is a third-magnitude star in the constellation of Leo, the lion. It forms the second star (after Gamma Leonis) in the blade of the sickle, which is an asterism formed from the head of Leo.",1
Adhara,12.60,"38,700.00",1.50,22900,430.00,Canis Major,"Epsilon Canis Majoris is a binary star and, despite being designated ε (epsilon), the second-brightest object in the constellation of Canis Major and one of the brightest stars in the night sky with an apparent magnitude of 1.50. About 4.7 million years ago, it was the brightest star in the sky, with an apparent magnitude of −3.99. Based upon parallax measurements obtained during the Hipparcos mission, it is about 430 light-years distant from the Sun.",1
Adhil,2.50,45.70,4.87,4656,2.14,Andromeda,"Xi Andromedae, officially named Adhil, is a solitary star in the northern constellation of Andromeda. It has an apparent magnitude of +4.9. Based on parallax measurements obtained during the Hipparcos mission, it lies at a distance of roughly 214 light-years (66 parsecs) from the Sun.",1
Ain,2.70,97.00,3.53,4901,146.80,Taurus,"Epsilon Tauri, formally named Ain, is an orange giant star located approximately 45 parsecs (147 light-years) from the Sun in the constellation of Taurus. An extrasolar planet (designated Epsilon Tauri b, later named Amateru) is believed to be orbiting the star.",1
Ainalrami,4.31,"3,464.00",4.86,4401,"1,400.00",Saggitarius,"Nu¹ Sagittarii (ν¹ Sagittarii) is a triple star system lying approximately 1,100 light-years from Earth. Its three components are designated Nu¹ Sagittarii A (officially named Ainalrami /ɛnəlˈreɪmi/, the traditional name for the system), B and C. A and B themselves form a spectroscopic binary.",3
Aladfar,3.04,"6,605.00",4.43,17360,"1,390.00",Lyra,"Eta Lyrae is the primary or 'A' component of a triple star system in the constellation of Lyra. It is approximately 1,390 light-years from the Sun. The secondary or 'B' component is the star BD +38 3491. Eta Lyrae is itself a spectroscopic binary with components designated Aa (formally named Aladfar /əˈlædfɑːr/, the traditional name of the system) and Ab.",1
Albaldah,5.90,"3,300.00",2.88,6590,510.00,Saggitarius,"Pi Sagittarii is a triple star system in the zodiac constellation of Sagittarius. It has an apparent visual magnitude of +2.89, bright enough to be readily seen with the naked eye. Based upon parallax measurements, it is roughly 510 light-years (160 parsecs) from the Sun.",3
Albali,2.98,138.00,3.78,9622,208.00,Aquarius,"Epsilon Aquarii, Latinized from ε Aquarii, is a single star in the equatorial zodiac constellation of Aquarius, located near the western constellation border with Capricornus. It has the proper name Albali /ælˈbeɪli/, now formally recognized by the IAU. This is a white-hued star that is visible to the naked eye with an apparent visual magnitude of 3.77. Based upon parallax measurements taken during the Hipparcos mission, it is located at a distance of approximately 208 light-years (64 pc) from the Sun with an absolute magnitude of −0.46. The star is drifting closer with a radial velocity of −15 km/s.",1
Albireo,14.52,"1,200.00",3.05,4270,430.00,Cygus,"The Albireo system is a double star designated Beta Cygni. The International Astronomical Union uses the name ""Albireo"" specifically for the brightest star in the system. Although designated 'beta', it is fainter than Gamma Cygni, Delta Cygni, and Epsilon Cygni and is the fifth-brightest point of light in the constellation of Cygnus. Appearing to the naked eye to be a single star of magnitude 3, viewing through even a low-magnification telescope resolves it into its two components. The brighter yellow star (actually itself a very close binary system) makes a striking colour contrast with its fainter blue companion.",2
Alchiba,1.39,4.91,4.02,7041,48.70,Corvus,"Alpha Corvi, also named Alchiba, is an F-type main-sequence star and the fifth-brightest star in the constellation of Corvus. Based on parallax measurements made during the Hipparcos mission, it is approximately 49 light-years from the Sun.",1
Alcor,1.84,14.03,3.99,8221,81.70,Ursa Major,"Alcor is a binary star system in the constellation of Ursa Major. It is the fainter companion of Mizar, the two stars forming a naked eye double in the handle of the Big Dipper (or Plough) asterism in the constellation of Ursa Major. The two both lie about 83 light-years away from the Sun, as measured by the Hipparcos astrometry satellite. Alcor was known as Arundhati, wife of one of the Saptarishi, in traditional Indian astronomy. In 2009, Alcor was discovered to have a companion star Alcor B, a magnitude 8.8 red dwarf.",2
Alcyone,5.90,"2,030.00",2.85,12258,136.00,Taurus,"Alcyone, designated η Tauri, is a multiple star system in the constellation of Taurus. Approximately 440 light years from the Sun, it is the brightest star in the Pleiades open cluster, which is a young cluster, around 100 million years old. There are a number of fainter stars very close to Alcyone, all likely members of the same cluster.",1
Aldebaran,1.16,439.00,0.85,3900,65.30,Taurus,"Aldebaran, designated α Tauri, is an orange giant star about 65 light-years from the Sun in the zodiac constellation Taurus. It is the brightest star in Taurus and generally the fourteenth-brightest star in the night sky, though it varies slowly in brightness between magnitude 0.75 and 0.95. Aldebaran hosts a planet several times the mass of Jupiter, named Aldebaran b. Aldebaran is listed as the spectral standard for type K5+ III stars. Its spectrum shows that it is a giant star that has evolved off the main sequence band of the Hertzsprung–Russell diagram after exhausting the hydrogen at its core. In 1993 radial velocity measurements of Aldebaran, Arcturus and Pollux showed that Aldebaran exhibited a long-period radial velocity oscillation, which could be interpreted as a substellar companion.",1
Alderamin,1.74,17.00,2.45,7740,49.05,Cephius,"Alpha Cephei, officially named Alderamin, is a second magnitude star in the constellation of Cepheus near the northern pole. The star is relatively close to Earth at 49 light years (ly).",1
Aldhanab,3.06,373.00,3.00,12520,211.00,Grus,"Gamma Gruis, formally named Aldhanab], is a star in the southern constellation of Grus (it once belonged to the Ptolemaic constellation Piscis Austrinus). With an apparent visual magnitude of 3.0, it is the third-brightest star in Grus. Based upon parallax measurements, this star is located at a distance of roughly 211 light-years (65 parsecs) from the Sun.",1
Aldhibah,3.50,148.00,3.17,13397,330.00,Draco,"Zeta Draconis is a binary star in the northern circumpolar constellation of Draco. With an apparent visual magnitude of +3.17, it is the fifth-brightest member of this generally faint constellation. Its distance from the Sun has been measured using the parallax technique, yielding an estimate of roughly 330 light-years (100 parsecs).",2
Aldulfin,4.80,676.00,4.03,13614,330.00,Delphinus,"Epsilon Delphini, officially named Aldulfin, is a solitary, blue-white hued star in the northern constellation of Delphinus. It is visible to the naked eye with an apparent visual magnitude of 4.03. Based upon an annual parallax shift of 9.87 mas as seen from the Earth, the system is located about 330 light-years from the Sun. At Epsilon Delphini's distance, the visual magnitude is diminished by an extinction factor of 0.11 due to interstellar dust. The star is moving closer to the Sun with a radial velocity of −19 km/s.",1
Alfirk,12.20,"15,100.00",3.23,27000,690.00,Cepheus,"Beta Cephei is a triple star system of the third magnitude in the constellation of Cepheus. Based on parallax measurements obtained during the Hipparcos mission, it is approximately 690 light-years distant from the Sun. It is the prototype of the Beta Cephei variable stars.",3
Algedi,2.05,40.40,3.58,5030,102.00,Capricornus,"Alpha2 Capricorni, or Algedi, is a triple star system in the southern constellation of Capricornus. It is visible to the naked eye with an apparent visual magnitude of +3.57. It is separated from the fainter α¹ Capricorni by 0.11° of the sky, a gap just resolvable with the naked eye, similar to Mizar and Alcor. Based on parallax shift as refined from orbits around the sun of the Gaia spacecraft at earth's Lagrange point 2, the star is 101 to 103 light years from the solar system.",1
Algenib,8.90,"5,840.00",2.83,21179,390.00,Pegasus,"Gamma Pegasi, formally named Algenib, is a star in the constellation of Pegasus, located at the southeast corner of the asterism known as the Great Square. The average apparent visual magnitude of +2.84 puts this at fourth place among the brightest stars in the constellation. The distance to this star has been measured using the parallax technique, yielding a value of roughly 390 light-years (120 parsecs) with a margin of error of 5%.",1
